Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. B/H/S  Bhulair(Male)",Chak No.119 RB Bhulair,202010301,,,,570,0,570,2,0,2
"",,Chak No.119 RB Bhulair,202010302,,,,265,0,265,,,
"",,Chak No.119 RB Bhulair,202010303,,,,360,0,360,,,
Total,,,,1195,0,1195,2,0,2,,,
2,"Govt. B/H/S  Bhulair(Female)",Chak No.119 RB Bhulair,202010301,,,,0,435,435,0,2,2
"",,Chak No.119 RB Bhulair,202010302,,,,0,272,272,,,
"",,Chak No.119 RB Bhulair,202010303,,,,0,206,206,,,
Total,,,,0,913,913,0,2,2,,,
3,"Office UC Bhulair(Combined)",Chak No.119 RB Bhulair,202010305,,,,403,315,718,2,1,3
"",,Chak No.119 RB Bhulair,202010310,,,,258,151,409,,,
Total,,,,661,466,1127,2,1,3,,,
4,"Govt. G/H/S  Bhulair(Male)",Chak No.119 RB Bhulair,202010304,,,,795,,795,3,0,3
"",,Chak No.119 RB Bhulair,202010306,,,,319,,319,,,
"",,Chak No.119 RB Bhulair,202010311,,,,215,,215,,,
Total,,,,1329,0,1329,3,0,3,,,
5,"Govt. G/H/S  Bhulair(Female)",Chak No.119 RB Bhulair,202010304,,,,0,606,606,0,2,2
"",,Chak No.119 RB Bhulair,202010306,,,,0,239,239,,,
"",,Chak No.119 RB Bhulair,202010311,,,,0,129,129,,,
Total,,,,0,974,974,0,2,2,,,
6,"Govt. P/S Raza AbadChahoor Sikhan(Male)",Chahoor Sikhan 118/RB,202010101,,,,357,0,357,2,0,2
"",,Chahoor Sikhan 118/RB,202010102,,,,178,0,178,,,
"",,Chahoor Sikhan 118/RB,202010103,,,,280,0,280,,,
"",,Chahoor Sikhan 118/RB,202010104,,,,241,0,241,,,
Total,,,,1056,0,1056,2,0,2,,,
7,"Govt. P/S Raza AbadChahoor Sikhan(Female)",Chahoor Sikhan 118/RB,202010101,,,,0,277,277,0,2,2
Chahoor Sikhan 118/RB,202010102,,,,0,137,137,,,,,
Chahoor Sikhan 118/RB,202010103,,,,0,193,193,,,,,
Chahoor Sikhan 118/RB,202010104,,,,0,160,160,,,,,
8,"Govt. girls primaryschool Basti SharifPura.  (Male)",Chahoor Sikhan 118/RB,202010105,,,,101,0,101,2,0,2
"",,Chahoor Sikhan 118/RB,202010106,,,,139,0,139,,,
"",,Chahoor Sikhan 118/RB,202010107,,,,117,0,117,,,
"",,Chahoor Sikhan 118/RB,202010108,,,,117,0,117,,,
"",,Chahoor Sikhan 118/RB,202010120,,,,143,0,143,,,
"",,Chahoor Sikhan 118/RB,202010121,,,,6,0,6,,,
"",,Chahoor Sikhan 118/RB,202010122,,,,108,0,108,,,
"",,Chahoor Sikhan 118/RB,202010123,,,,363,0,363,,,
Total,,,,1094,0,1094,2,0,2,,,
9,"Govt. girls primaryschool Basti SharifPura.  (Female)",Chahoor Sikhan 118/RB,202010105,,,,0,66,66,0,2,2
"",,Chahoor Sikhan 118/RB,202010106,,,,0,85,85,,,
"",,Chahoor Sikhan 118/RB,202010107,,,,0,105,105,,,
"",,Chahoor Sikhan 118/RB,202010108,,,,0,88,88,,,
"",,Chahoor Sikhan 118/RB,202010120,,,,0,106,106,,,
"",,Chahoor Sikhan 118/RB,202010121,,,,0,67,67,,,
"",,Chahoor Sikhan 118/RB,202010122,,,,0,63,63,,,
"",,Chahoor Sikhan 118/RB,202010123,,,,0,157,157,,,
Total,,,,0,737,737,0,2,2,,,
10,"Govt. B/P/S ChahoorMuslim 118 RB(Combined)",Chahoor Muslim 118 RB,202010109,,,,132,121,253,2,1,3
"",,Chahoor Muslim 118 RB,202010110,,,,253,164,417,,,
"",,Chahoor Muslim 118 RB,202010111,,,,252,218,470,,,
Total,,,,637,503,1140,2,1,3,,,
11,"Govt. Girls/P/SChahoor Muslim 118RB  (Combined)",Chahoor Muslim 118 RB,202010112,,,,420,375,795,2,2,4
"",,Chahoor Muslim 118 RB,202010113,,,,200,110,310,,,
"",,Chahoor Muslim 118 RB,202010124,,,,157,55,212,,,
"",,Chahoor Muslim 118 RB,202010125,,,,82,146,228,,,
Total,,,,859,686,1545,2,2,4,,,
12,"Govt. G/P/S MararChak No.45 RB (Male)",Marar Chak No.45 RB,202010114,,,,433,0,433,2,,2
"",,Marar Chak No.45 RB,202010115,,,,244,0,244,,,
"",,Marar Chak No.45 RB,202010117,,,,442,0,442,,,
Total,,,,1119,0,1119,2,0,2,,,
13,"Govt. G/P/S MararChak No.45 RB(Female)",Marar Chak No.45 RB,202010114,,,,0,331,331,,2,2
"",,Marar Chak No.45 RB,202010115,,,,0,172,172,,,
"",,Marar Chak No.45 RB,202010117,,,,0,328,328,,,
Total,,,,0,831,831,0,2,2,,,
14,"Govt. B/P/S ChakNo.45RB  (Male)",Chak No.45RB,202010116,,,,59,0,59,2,,2
"",,Chak No.45RB,202010126,,,,139,0,139,,,
"",,Chak No.45RB,202010118,,,,488,0,488,,,
"",,Chak No.45RB,202010119,,,,482,0,482,,,
Total,,,,1168,0,1168,2,0,2,,,
15,"Govt. B/P/S ChakNo.45RB  (Female)",Chak No.45RB,202010116,,,,0,69,69,0,2,2
Chak No.45RB,202010126,,,,0,71,71,,,,,
Chak No.45RB,202010118,,,,0,455,455,,,,,
Chak No.45RB,202010119,,,,0,326,326,,,,,
16,"Govt. G/P/S KotlaKhurd Chak No.43/RB(Male)",Kotla Khurd Chak No. 43/RB,202010201,,,,638,0,638,3,0,3
"",,Kotla Khurd Chak No. 43/RB,202010202,,,,179,0,179,,,
"",,Kotla Khurd Chak No. 43/RB,202010203,,,,557,0,557,,,
"",,Kotla Khurd Chak No. 43/RB,202010204,,,,61,0,61,,,
"",,Kotla Khurd Chak No. 43/RB,202010213,,,,248,0,248,,,
Total,,,,1683,0,1683,3,0,3,,,
17,"Govt. G/P/S KotlaKhurd Chak No.43/RB(Female)",Kotla Khurd Chak No. 43/RB,202010201,,,,0,349,349,0,3,3
"",,Kotla Khurd Chak No. 43/RB,202010202,,,,0,342,342,,,
"",,Kotla Khurd Chak No. 43/RB,202010203,,,,0,443,443,,,
"",,Kotla Khurd Chak No. 43/RB,202010204,,,,0,27,27,,,
"",,Kotla Khurd Chak No. 43/RB,202010213,,,,0,214,214,,,
Total,,,,0,1375,1375,0,3,3,,,
