"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,Male Voters,"FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths","PollingStation Type"
1,"Govt Boys HighSchool SeraiSadhu","Mohallah Eid  GahHigher SecondarySchool",223120101,348,0,348,2,0,2,Male
"",,Gali Dak Khana,223120102,728,0,728,,,,
2,"Govt Boys HighSchool SeraiSadhu",Aruun Sher Bukhari,223120103,586,0,586,2,0,2,Male
"",,Arjun Sher Bukhari,223120104,446,0,446,,,,
3,"Govt Boys HighSchool SeraiSadhu","Mohallah Eid  GahHigher SecondarySchool",223120101,0,317,317,0,2,2,Female
Gali Dak Khana,223120102,0,579,579,,,,,,
Arun Sher Bukhari,223120103,0,492,492,,,,,,
5,"Govt GirlsPrimary SchoolSari Sadhu",Sabzi Mandi,223120202,537,0,537,3,0,3,Male
"",,"Mohallah RajpotJogi Mohallah",223120203,571,0,571,,,,
6,"Govt GirlsPrimary SchoolSari Sadhu",Basti Mohana wala,223120105,527,0,527,2,0,2,Male
"",,"Mohallah Loharanwala MasjidIslamabad",223120201,657,0,657,,,,
7,"Govt Girls HighSchool SariSadhu",Basti Mohana wala,223120105,0,416,416,0,2,2,Female
"",,"Mohallah Loharanwala MasjidIslamabad",223120201,0,527,527,,,,
8,"Govt Girls HighSchool SariSadhu",Sabzi Mandi,223120202,0,411,411,0,2,2,Female
"Mohallah RajpotJogi Mohallah",223120203,0,501,501,,,,,,
"Mohallah ChaohanWala",223120204,489,0,489,,,,,,
10,"Office of theTown CommitteeSari Sadhu","Mohallah ChaohanWala",223120204,0,436,436,0,2,2,Female
"",,Qaid-e-Azam Road,223120205,0,378,378,,,,
11,"Govt BoysPrimary SchoolGharbi",Sari Sadhu (Rural),223060102,253,218,471,1,1,2,"Combined"
12,"Govt BoysPrimary SchoolNorth Sari Sadhu",Sari Sadhu (Rural),223060101,460,288,748,1,1,2,"Combined"
13,"Govt BoysPrimary SchoolJhallar Daultana",Sari Sadhu (Rural),223060103,673,588,1261,1,1,2,"Combined"
14,"Basic Health UnitQattal Pur",Qattal Pur,223060502,507,443,950,1,1,2,"Combined"
15,"Govt Boys HighSchool Qattal Pur(P-I)",Qattal Pur,223060501,337,0,337,2,0,2,Male
Qattal Pur,223060503,385,0,385,,,,,,
Qattal Pur,223060504,280,0,280,,,,,,
16,"Govt Boys HighSchool Qattal Pur(P-II)",Qattal Pur,223060503,0,348,348,0,2,2,Female
"",,Qattal Pur,223060504,0,268,268,,,,
17,"Govt Girls HighSchool  QattalPur (Ist Portion)",Qattal Pur,223060505,266,0,266,3,0,3,Male
Qattal Pur,223060506,274,0,274,,,,,,
Qattal Pur,223060507,549,0,549,,,,,,
Qattal Pur,223060508,321,0,321,,,,,,
Qattal Pur,223060505,0,205,205,,,,,,
Qattal Pur,223060506,0,219,219,,,,,,
Qattal Pur,223060507,0,471,471,,,,,,
19,"Govt BoysPrimary SchoolShakru Wala",Shakru Wala,223060510,448,305,753,1,1,2,"Combind"
20,"Govt BoysPrimary SchoolBarbagi",Barbagi,223060509,479,443,922,1,1,2,"Combind"
21,"BHU KundSargana  (IstPort)",Kund Sargana,223060601,639,0,639,2,0,2,Male
"",,Kund Sargana,223060602,639,0,639,,,,
"",,Kund Sargana,223060603,623,0,623,,,,
22,"BHU KundSargana   (IIndPortion)",Kund Sargana,223060601,0,449,449,0,2,2,Female
Kund Sargana,223060602,0,449,449,,,,,,
Kund Sargana,223060603,0,453,453,,,,,,
Kund Sargana,223060604,474,0,474,,,,,,
24,"Vetinary HospitalKund Saragana",Kund Sargana,223060604,0,423,423,0,2,2,Female
"",,Kund Sargana,223060605,0,324,324,,,,
25,"Govt BoysPrimary SchoolFaqir Sial",Faqir Sial,223060701,93,106,199,1,1,2,"Combined"
26,"Govt. BoysPrimary School,Khat Pur Sindha",Jahana Mirali,223060702,131,76,207,1,1,2,"Combined"
"",,Khat Pur Sindha,223060703,112,80,192,,,,
"",,Chak Naurang shah,223060704,72,47,119,,,,
27,"Govt Boys HighSchool  PipleMirali",Pipal Mirali,223060801,563,416,979,2,1,3,"Combined"
Qadu Mirali,223060804,69,40,109,,,,,,
Mansoor Mirali,223060805,35,28,63,,,,,,
"","Govt BoysPrimary SchoolKuksan Abad",Kuksan Abad,223060803,387,0,387,2,0,2,Male
"",,Gul Pur Pinjari,223060808,17,0,17,,,,
29,"Govt BoysPrimary SchoolKuksan Abad",Kuksan Abad,223060802,0,350,350,0,2,2,Female
Kuksan Abad,223060803,0,240,240,,,,,,
Gul Pur Pinjari,223060808,0,9,9,,,,,,
Lalaira,223051201,151,132,283,,,,,,
Kot Kathia,223051202,193,136,329,,,,,,
Mohri Jhandeer,223051203,61,53,114,,,,,,
Khunda Hiraj,223060806,111,96,207,,,,,,
"",,Uth Mudhi,223060809,21,15,36,,,,
31,"Govt BoysPrimary SchoolGrahim Wala atHeveli MubarakShah (Ist Portion)","Heveil MubarakShah",223060901,270,0,270,2,0,3,Male
"Heveil MubarakShah",223060902,201,0,201,,,,,,
"Heveil MubarakShah",223060903,661,0,661,,,,,,
"Heveil MubarakShah",223060904,661,0,661,,,,,,
"Heveil MubarakShah",223060905,661,0,661,,,,,,
"Heveil MubarakShah",223060901,0,218,218,,,,,,
"Heveil MubarakShah",223060902,0,136,136,,,,,,
"Heveil MubarakShah",223060903,0,485,485,,,,,,
"",,"Heveil MubarakShah",223060905,0,485,485,,,,
33,"Govt GirlsPrimary Schoolsaee Mirali",Bati,223060906,342,271,613,1,1,2,"Combid"
"",,Saee Mirali,223060907,195,142,337,,,,
"",,Noor Mirali,223060908,69,49,118,,,,
34,"Govt BoysMiddle SchoolBregh Sargana",Baregh Sargana,223061006,643,451,1094,2,1,3,"Combid"
"",,Baregh Sargana,223061007,159,107,266,,,,
35,"Govt Boys PrySchool  ManzarAabad Bagar",Baregh Sargana,223061003,580,514,1094,1,1,2,"Combid"
Baregh Sargana,223061001,205,0,205,,,,,,
Baregh Sargana,223061002,380,0,380,,,,,,
"",,Baregh Sargana,223061005,218,0,218,,,,
37,"Govt Girls MiddleSchool  ManzarAbad (IIndPortion)",Baregh Sargana,223061001,0,135,135,0,2,2,Female
"",,Baregh Sargana,223061002,0,268,268,,,,
"",,Baregh Sargana,223061004,0,215,215,,,,
"",,Baregh Sargana,223061005,0,203,203,,,,
38,"Govt GirlsPrimary SchoolQaim Sahu",Qaim Sahu,223060304,208,146,354,1,1,2,"Combined"
Kaura Isra,223060305,330,298,628,,,,,,
Mohan pur,223060307,212,178,390,,,,,,
"Kot GoharMuhammad",223060301,421,0,421,,,,,,
"","Kot GoharMuhammad","Kot GoharMuhammad",223060303,317,0,317,,,,
"",,Manak Wala,223060306,161,0,161,,,,
